,Name,Name_no_underscore,Gender,Branches,Links,Main_character,Warehouse_worker,Community
32,Brian_Wittle,Brian Wittle,Male,[],"['Dwight Schrute', 'Pam Beesly', 'Frank', 'Meredith Palmer', 'Clark Green', 'Jim Halpert']",0,0,8
33,Broccoli_Rob,Broccoli Rob,Male,[],['Andy Bernard'],0,0,4
34,Bruce,Bruce,Male,[],"['Gabe Lewis', 'Mike Tibbets']",0,1,4
35,Cameraman,Cameraman,Male,[],"['Michael Scott', 'Angela Martin', 'James P. Albini', 'Karen Filippelli', 'Rachel Wallace', 'Dwight Schrute', 'Pam Beesly', 'Andy Bernard', 'Mose Schrute']",0,0,5
36,Captain_Jack,Captain Jack,Male,[],"['Michael Scott', 'Meredith Palmer']",0,0,0
37,Carla,Carla,Female,[],"['Michael Scott', 'Andy Bernard']",0,0,4
38,Carla_Fern,Carla Fern,Female,[],"['Darryl Philbin', 'Andy Bernard']",0,0,4
39,Carol_Stills,Carol Stills,Female,[],"['Michael Scott', 'Jan Levinson', 'Michael Scarn']",0,0,6
40,Casey_Dean,Casey Dean,Female,[],['Andy Bernard'],0,0,4
41,Catherine_Zeta-Scarn,Catherine Zeta-Scarn,Female,[],"['Michael Scarn', 'Phyllis Vance', 'Goldenface']",0,0,6
42,Cathy_Becker,Cathy Becker,Unknown,[],['Sasha Flenderson'],0,0,0
43,Cathy_Simms,Cathy Simms,Female,['Dunder Mifflin Scranton'],"['Pam Beesly', 'Jim Halpert']",0,0,4
44,Cecelia_Halpert,Cecelia Halpert,Female,[],"['Michael Scott', 'Angela Martin', 'Erin Hannon', 'Betsy Halpert', 'Deangelo Vickers', 'Helene Beesly', 'Gerald Halpert', 'Sylvia', 'Dwight Schrute', 'Jim Halpert', 'Pam Beesly', 'Phillip Schrute', 'Andy Bernard', 'William Beesly', 'Gabe Lewis']",0,0,1
45,Chad_Ligh,Chad Ligh,Male,[],"['Michael Scott', 'Dwight Schrute', 'Barbara Allen']",0,0,0
46,Charles_Miner,Charles Miner,Male,['Dunder Mifflin Paper Company'],"['Michael Scott', 'David Wallace', 'Angela Martin', 'Kelly Kapoor', 'Dwight Schrute', 'Jim Halpert', 'Ryan Howard']",0,0,3
47,Cherokee_Jack,Cherokee Jack,Male,[],"['Michael Scarn', 'Creed Bratton', 'Goldenface']",0,0,6
48,Chet_Montgomery,Chet Montgomery,Male,[],['Michael Scott'],0,0,0
49,Chris_Finch,Chris Finch,Male,[],['Todd Packer'],0,0,8
50,Chris_Kotter,Chris Kotter,Male,[],['Michael Scott'],0,0,0
51,Christian,Christian,Unknown,[],"['Michael Scott', 'Jan Levinson']",0,0,6
52,Clark_(Lactation_Consultant),Clark (Lactation Consultant),Male,[],"['Jim Halpert', 'Pam Beesly']",0,0,1
53,Clark_Green,Clark Green,Male,['Dunder Mifflin Scranton'],"['David Wallace', 'Angela Martin', 'Erin Hannon', 'Kelly Kapoor', 'Dwight Schrute', 'Creed Bratton', 'Jan Levinson', 'Jim Halpert', 'Stanley Hudson', 'Kevin Malone', 'Pam Beesly', 'Todd Packer', 'Andy Bernard', 'Pete Miller', 'Darryl Philbin', 'Toby Flenderson', 'Phyllis Vance']",1,0,8
